Product Name,Price,Product Link
"Pressed Cold-Pressed Juice & Shot Bundle -18 Bottles, 9 Juices & 9 Shots",$69.99,https://www.costco.com/pressed-cold-pressed-juice-%2526-shot-bundle--18-bottles%2c-9-juices-%2526-9-shots.product.100510087.html
"LaCroix Sparkling Water, Berry, 12 fl oz, 24-count",$11.49,/all-costco-grocery.html
"LaCroix Sparkling Water, Lemon, 12 fl oz, 24-count",$11.49,/all-costco-grocery.html
"Dole 100% Pineapple Juice, 8 fl oz, 24-count",$16.99,/all-costco-grocery.html
"Pressed 5-day Cleanse Bundle - 40 bottles, 30 Juices, and 10 Shots",$139.99,https://www.costco.com/pressed-5-day-cleanse-bundle---40-bottles%2c-30-juices%2c-and-10-shots.product.4000180629.html
"Celsius Sparkling Energy Drink, Orange, 12 fl oz, 24-count",$37.99,/all-costco-grocery.html
"Horizon, Organic Whole Milk, 8 oz, 18-Count",$21.99,/all-costco-grocery.html
"Mott's, 100% Apple Juice, 8 fl oz, 24-Count",$15.99,/all-costco-grocery.html
"Welch's Juice Drink, Variety Pack, 10 fl oz, 24-count",$14.99,/all-costco-grocery.html
"Tiesta Tea Maui Mango Herbal Tea Bundle, Two 1 lb. Bags & 5.5 oz Tin",$59.99,https://www.costco.com/tiesta-tea-maui-mango-herbal-tea-bundle%2c-two-1-lb.-bags-%2526-5.5-oz-tin.product.100466598.html
"Red Bull Energy Drink, 8.4 fl oz, 24-count",$31.99,/all-costco-grocery.html
"Celsius Sparkling Energy Drink, Kiwi Guava, 12 fl oz, 24-count",$37.99,/all-costco-grocery.html
"Welch's Juice Drink, Tropical Variety Pack, 10 fl oz, 24-count",$14.99,/all-costco-grocery.html
Pulp and Press 5-Day Organic Cold Pressed Juice Cleanse,$159.99,https://www.costco.com/pulp-and-press-5-day-organic-cold-pressed-juice-cleanse.product.4000064299.html
"Welch’s, 100% Grape Juice Blend, Concord Grape, 96 fl oz, 2-Count",$12.99,/all-costco-grocery.html
"Welch's 100% Juice Drink, Variety Pack, 10 fl oz, 24-count",$18.99,/all-costco-grocery.html
"Kirkland Signature Green Tea Bags, 1.5 g, 100-count",$12.99,/all-costco-grocery.html
"Ocean Spray, Cranberry Juice, Variety Pack, 10 fl oz, 24-Count",$16.99,/all-costco-grocery.html
"Tiesta Tea Blueberry Wild Child Herbal Tea Bundle, Two 1 lb. Bags & 5.5 oz Tin",$59.99,https://www.costco.com/tiesta-tea-blueberry-wild-child-herbal-tea-bundle%2c-two-1-lb.-bags-%2526-5.5-oz-tin.product.100466599.html
"Sunny D, Tangy Original, 11.3 fl oz, 30-Count",$17.59,/all-costco-grocery.html
"Celsius Sparkling Energy Drink, Wild Berry, 12 fl oz, 24-count",$37.99,/all-costco-grocery.html
"Kirkland Signature, Organic Soy Beverage, Vanilla, 32 fl oz, 12-Count",$17.99,/all-costco-grocery.html
"Kern's, Nectar Variety Pack, 11.5 fl oz, 30-Count",$17.99,/all-costco-grocery.html
"C4 Performance Energy Drink, Frozen Bombsicle, 16 fl oz, 12-count",$23.49,/all-costco-grocery.html
"La Colombe Draft Latte Cold Brew Coffee, Variety Pack, 9 fl oz, 12-count",$22.99,/all-costco-grocery.html
"Nestlé Nido Fortificada, Dry Whole Milk, 4.85 lbs",$27.99,/all-costco-grocery.html
"Ready Sports Drink Light, Mango Lemonade, 16.9 fl oz, 12-count",$22.99,https://www.costco.com/ready-sports-drink-light%2c-mango-lemonade%2c-16.9-fl-oz%2c-12-count.product.4000230003.html
"Pressed 3-day Beginner Cleanse Bundle  - 24 bottles, 18 Juice and  6 Shots",$99.99,https://www.costco.com/pressed-3-day-beginner-cleanse-bundle----24-bottles%2c-18-juice-and--6-shots.product.4000180678.html
