Product Name,Price,Product Link
"Bacon-Wrapped Turducken Roast w/ Italian Sausage Stuffing, 7 lb Total",$139.99,https://www.costco.com/bacon-wrapped-turducken-roast-w-italian-sausage-stuffing%2c-7-lb-total.product.100509284.html
"D’Artagnan Green Circle Chicken - Boneless & Skinless Breasts, 12 Total Packs, 11 Lbs. Total",$149.99,https://www.costco.com/d%e2%80%99artagnan-green-circle-chicken---boneless-%2526-skinless-breasts%2c-12-total-packs%2c-11-lbs.-total.product.100667895.html
"Rastelli’s Antibiotic-Free Turkey Craft Burgers (32/5 Oz. Per Burger), 32 Total Packs, 10 Lbs. Total",$119.99,https://www.costco.com/rastelli%e2%80%99s-antibiotic-free-turkey-craft-burgers-325-oz.-per-burger%2c-32-total-packs%2c-10-lbs.-total.product.100685317.html
"Crescent Foods Halal Hand Cut Ground Chicken, 6-2 lb. Packs, 12 Lbs. Total",$119.99,https://www.costco.com/crescent-foods-halal-hand-cut-ground-chicken%2c-6-2-lb.-packs%2c-12-lbs.-total.product.4000263780.html
"All Natural Raw Duck Legs - (8/2 Legs Per Pack, 8.5 Oz Per Leg), 16 Total Legs, 8 Total Packs, 8.5 Lbs. Total",$169.99,https://www.costco.com/all-natural-raw-duck-legs---82-legs-per-pack%2c-8.5-oz-per-leg%2c-16-total-legs%2c-8-total-packs%2c-8.5-lbs.-total.product.4000043968.html
"All Natural Boneless Duck Breast - (8/7 Oz. Per Duck Breast), 16 Total Breasts, 8 Total Packs, 7Lbs. Total",$199.99,https://www.costco.com/all-natural-boneless-duck-breast---87-oz.-per-duck-breast%2c-16-total-breasts%2c-8-total-packs%2c-7lbs.-total.product.4000043946.html
"Fully Cooked Confit Duck Legs - (8/1 Lbs. Per Pack), 16 Legs, 8 Total Packs, 8 Lbs. Total",$179.99,https://www.costco.com/fully-cooked-confit-duck-legs---81-lbs.-per-pack%2c-16-legs%2c-8-total-packs%2c-8-lbs.-total.product.4000043913.html
"D'Artagnan Whole ABF Pekin Duck, (1/5.25 Lbs. Average Per Duck), 6 Total Packs, 31.5 Lbs. Total",$219.99,https://www.costco.com/d'artagnan-whole-abf-pekin-duck%2c-15.25-lbs.-average-per-duck%2c-6-total-packs%2c-31.5-lbs.-total.product.100734529.html
