Product Name,Price,Product Link
"Lavazza Caffé Espresso 100% Premium Arabica Coffee, Whole Bean, 2.2 lbs",$13.99,/all-costco-grocery.html
Ruta Maya Organic Medium Roast Whole Bean Coffee 5 lb,$44.99,https://www.costco.com/ruta-maya-organic-medium-roast-whole-bean-coffee-5-lb.product.100041370.html
Ruta Maya Organic Jiguaní Whole Bean Coffee 5 lb,$47.99,https://www.costco.com/ruta-maya-organic-jiguan%c3%ad-whole-bean-coffee-5-lb.product.100123782.html
"Starbucks Coffee Veranda Blend Blonde Roast K-Cup, 72-count",$34.99,/all-costco-grocery.html
"San Francisco Bay Organic Rainforest Blend Whole Bean Coffee 3 lbs, 2-pack",$56.99,https://www.costco.com/san-francisco-bay-organic-rainforest-blend-whole-bean-coffee-3-lbs%2c-2-pack.product.100039920.html
"Mayorga Café Cubano Roast, USDA Organic, Dark Roast, Whole Bean Coffee, 2lb, 2-pack",$39.99,https://www.costco.com/mayorga-caf%c3%a9-cubano-roast%2c-usda-organic%2c-dark-roast%2c-whole-bean-coffee%2c-2lb%2c-2-pack.product.100523070.html
"Starbucks Coffee Single Origin Sumatra Dark Roast K-Cup, 72-count",$34.99,/all-costco-grocery.html
"Mayorga Decaf Café Cubano Roast, USDA Organic, Dark Roast, Whole Bean Coffee, 2lb, 2-pack",$44.99,https://www.costco.com/mayorga-decaf-caf%c3%a9-cubano-roast%2c-usda-organic%2c-dark-roast%2c-whole-bean-coffee%2c-2lb%2c-2-pack.product.100843648.html
"Parisi Artisan Coffee Bolivian Organic Blend Whole Bean 2 lb, 2-pack",$36.99,https://www.costco.com/parisi-artisan-coffee-bolivian-organic-blend-whole-bean-2-lb%2c-2-pack.product.100464199.html
"Starbucks VIA Instant Colombia Coffee, Medium Roast, 26-count",$18.49,/all-costco-grocery.html
"Nestlé Coffee-Mate Liquid Creamer, French Vanilla, 180-count",$14.99,/all-costco-grocery.html
"Jose’s 100% Organic Mayan Whole Bean Coffee 2.5 lb, 2-pack",$44.99,https://www.costco.com/jose%e2%80%99s-100%25-organic-mayan-whole-bean-coffee-2.5-lb%2c-2-pack.product.100123756.html
"Starbucks Espresso, Espresso & Cream, 6.5 fl oz, 12-count",$22.99,/all-costco-grocery.html
"Ruta Maya Decaffeinated Coffee 2.2 lb, 2-pack",$44.99,https://www.costco.com/ruta-maya-decaffeinated-coffee-2.2-lb%2c-2-pack.product.11495115.html
"Mayorga Organic Winter Blend, USDA Organic, Dark Roast, Whole Bean Coffee, 2lb, 2-pack",$39.99,https://www.costco.com/mayorga-organic-winter-blend%2c-usda-organic%2c-dark-roast%2c-whole-bean-coffee%2c-2lb%2c-2-pack.product.100523050.html
"San Francisco French Roast Whole Bean Coffee 3 lb, 2-pack",$44.99,https://www.costco.com/san-francisco-french-roast-whole-bean-coffee-3-lb%2c-2-pack.product.100039943.html
"Nestlé Coffee-mate Coffee Creamer, French Vanilla, Pump Bottle, 50.7 fl oz",$16.99,/all-costco-grocery.html
"Jose’s Vanilla Nut Whole Bean Coffee 3 lb, 2-pack",$44.99,https://www.costco.com/jose%e2%80%99s-vanilla-nut-whole-bean-coffee-3-lb%2c-2-pack.product.100123965.html
"Nestlé Coffee-mate Liquid Creamer, Original, 180-count",$12.99,/all-costco-grocery.html
"Land O Lake's Mini Moos Half & Half Liquid Creamer, 192-count",$13.99,/all-costco-grocery.html
"Connaisseur #4 Cone Coffee Filters, 400-count",$6.59,/all-costco-grocery.html
"Peet's Coffee Decaf Major Dickason's Ground, 10.5 oz Bags, 6-pack",$42.99,https://www.costco.com/peet's-coffee-decaf-major-dickason's-ground%2c-10.5-oz-bags%2c-6-pack.product.100802023.html
"Caffe D'Vita, Instant Mocha Cappuccino, 4 lbs",$13.99,/all-costco-grocery.html
"Nestlé Coffee-mate Powdered Creamer, Original, 56 oz",$9.99,/all-costco-grocery.html
"Jose’s 100% Colombia Supremo Whole Bean Coffee, Medium, 3lbs, 2-pack",$44.99,https://www.costco.com/jose%e2%80%99s-100%25-colombia-supremo-whole-bean-coffee%2c-medium%2c-3lbs%2c-2-pack.product.4000238917.html
"Splenda Zero Calorie Sweetener Packets, 1,000-count",$16.99,/all-costco-grocery.html
"International Delight Liquid Creamer, French Vanilla, 192-count",$14.99,/all-costco-grocery.html
"Nescafé Taster's Choice Decaf House Blend Instant Coffee, 14 oz",$17.99,/all-costco-grocery.html
"International Delight Liquid Creamer, Hazelnut, 192-count",$14.99,/all-costco-grocery.html
"Mayorga Buenos Días, USDA Organic, Light Roast, Whole Bean Coffee, 2lb, 2-pack",$39.99,https://www.costco.com/mayorga-buenos-d%c3%adas%2c-usda-organic%2c-light-roast%2c-whole-bean-coffee%2c-2lb%2c-2-pack.product.100844180.html
"Peet's Coffee Big Bang Ground, 10.5 oz Bags, 6-pack",$42.99,https://www.costco.com/peet's-coffee-big-bang-ground%2c-10.5-oz-bags%2c-6-pack.product.100800891.html
"San Francisco Bay Coffee DECAF Bay Bridge Blend Ground 28oz, 2-pack",$39.99,https://www.costco.com/san-francisco-bay-coffee-decaf-bay-bridge-blend-ground-28oz%2c-2-pack.product.4000287925.html
"Nescafé Clasico Instant Coffee, Dark Roast, 10.5 oz, 2-pack",$20.99,/all-costco-grocery.html
"VitaCup Slim Instant Coffee Packets, Boost Diet & Metabolism, 30-count",$29.99,https://www.costco.com/vitacup-slim-instant-coffee-packets%2c-boost-diet-%2526-metabolism%2c-30-count.product.100943096.html
"International Delight Liquid Creamer, Caramel Macchiato, 192-count",$14.99,/all-costco-grocery.html
"VitaCup Shroom Fuel Mushroom Based Coffee Alternative Packets, 2-pack, Total 48 Counts",$39.99,https://www.costco.com/vitacup-shroom-fuel-mushroom-based-coffee-alternative-packets%2c-2-pack%2c-total-48-counts.product.4000228196.html
"San Francisco Bay Coffee Organic Rainforest Blend Ground 28oz, 2-pack",$39.99,https://www.costco.com/san-francisco-bay-coffee-organic-rainforest-blend-ground-28oz%2c-2-pack.product.100847404.html
"Copper Moon Costa Rica Blend, Medium Roast Whole Bean Coffee, 2 lb Bags, 2-Pack",$34.99,https://www.costco.com/copper-moon-costa-rica-blend%2c-medium-roast-whole-bean-coffee%2c-2-lb-bags%2c-2-pack.product.4000152974.html
"N'Joy Powdered Creamer, Original, 16 oz, 8-count",$18.99,/all-costco-grocery.html
"Mayorga Organics Mayan Blend, USDA Organic, Medium Roast, Whole Bean Coffee, 2lb, 2-pack",$39.99,https://www.costco.com/mayorga-organics-mayan-blend%2c-usda-organic%2c-medium-roast%2c-whole-bean-coffee%2c-2lb%2c-2-pack.product.100796091.html
"Ruta Maya Organic Dark Roast Coffee, 5 lbs",$44.99,https://www.costco.com/ruta-maya-organic-dark-roast-coffee%2c-5-lbs.product.100041391.html
"Mother Earth Organic Medium Roast Coffee 2 lb, 2-pack",$39.99,https://www.costco.com/mother-earth-organic-medium-roast-coffee-2-lb%2c-2-pack.product.100320592.html
"San Francisco Bay Coffee Bay Bridge Blend Ground 28oz, 2-pack",$39.99,https://www.costco.com/san-francisco-bay-coffee-bay-bridge-blend-ground-28oz%2c-2-pack.product.4000287893.html
"Caffe Vita Coffee Caffe Del Sol Blend Whole Bean, Medium Roast, 2 lb. bags, 2-pack",$59.99,https://www.costco.com/caffe-vita-coffee-caffe-del-sol-blend-whole-bean%2c-medium-roast%2c-2-lb.-bags%2c-2-pack.product.100989302.html
"TNI King Coffee 3-in-1 Instant Coffeemix Sticks, Medium, 0.56 oz, 120-count",$15.99,/all-costco-grocery.html
"Caffe Vita Caffe Luna French Roast Whole Bean, Dark Roast, 2 lb. bags, 2-pack",$59.99,https://www.costco.com/caffe-vita-caffe-luna-french-roast-whole-bean%2c-dark-roast%2c-2-lb.-bags%2c-2-pack.product.100988783.html
"Caffe Vita Coffee Theo Blend Whole Bean, Medium-Dark Roast, 2 lb. bags, 2-pack",$59.99,https://www.costco.com/caffe-vita-coffee-theo-blend-whole-bean%2c-medium-dark-roast%2c-2-lb.-bags%2c-2-pack.product.100988722.html
"Starbucks Organic Winter Blend Whole Bean Coffee, Medium, 2.5 lbs",$21.99,/all-costco-grocery.html
"Yuban Gold Coffee, Original, Medium Roast, 46 oz",$14.99,/all-costco-grocery.html
"Kirkland Signature Organic Colombian Decaf Whole Bean Coffee, 2 lbs",$18.99,https://www.costco.com/kirkland-signature-organic-colombian-decaf-whole-bean-coffee%2c-2-lbs.product.100401331.html
"Starbucks Pumpkin Spice Naturally Flavored Coffee K-Cup Pods Limited Edition, 64-count",$32.99,https://www.costco.com/starbucks-pumpkin-spice-naturally-flavored-coffee-k-cup-pods-limited-edition%2c-64-count.product.4000208757.html
