Product Name,Price,Product Link
"GoGo SqueeZ YogurtZ, Variety Pack, 3 oz, 20-count",$14.99,/all-costco-grocery.html
Mifroma Raclette Whole Wheel Cheese 11 lbs.,$149.99,https://www.costco.com/mifroma-raclette-whole-wheel-cheese-11-lbs..product.4000262683.html
Coombe Castle Whole Wheel Blue Stilton Cheese 17 lbs.,$229.99,https://www.costco.com/coombe-castle-whole-wheel-blue-stilton-cheese-17-lbs..product.4000262920.html
"Whole Wheel Parmigiano Reggiano, 72 lbs.",$949.99,https://www.costco.com/whole-wheel-parmigiano-reggiano%2c-72-lbs..product.100096211.html
Whole Wheel Pecorino Romano Cheese 57 lbs.,$649.99,https://www.costco.com/whole-wheel-pecorino-romano-cheese-57-lbs..product.4000237831.html
