Product,Count,Price
"Bacon-Wrapped Turducken Roast w/ Italian Sausage Stuffing, 7 lb Total",,$139.99
"D’Artagnan Green Circle Chicken - Boneless & Skinless Breasts, 12 Total Packs, 11 Lbs. Total",,$149.99
"Rastelli’s Antibiotic-Free Turkey Craft Burgers (32/5 Oz. Per Burger), 32 Total Packs, 10 Lbs. Total",,$119.99
"Crescent Foods Halal Hand Cut Ground Chicken, 6-2 lb. Packs, 12 Lbs. Total",,$119.99
"All Natural Raw Duck Legs - (8/2 Legs Per Pack, 8.5 Oz Per Leg), 16 Total Legs, 8 Total Packs, 8.5 Lbs. Total",,$169.99
"All Natural Boneless Duck Breast - (8/7 Oz. Per Duck Breast), 16 Total Breasts, 8 Total Packs, 7Lbs. Total",,$199.99
"Fully Cooked Confit Duck Legs - (8/1 Lbs. Per Pack), 16 Legs, 8 Total Packs, 8 Lbs. Total",,$179.99
"D'Artagnan Whole ABF Pekin Duck, (1/5.25 Lbs. Average Per Duck), 6 Total Packs, 31.5 Lbs. Total",,$219.99
