Product,Count,Price
"Milky Way Full Size Chocolate Candy, Caramel, 1.84 oz,",36-count,$39.99
"Ghirardelli Premium Chocolate Squares Assortment, 23.6 oz bag",,$14.99
"York Dark Chocolate Peppermint Patties, 84 oz,",175-count,$19.99
"Godiva Premium Chocolate Variety Assorted Chocolates, 4-pack, 108 Total Pieces",,$54.99
"Wild West Assorted Chocolate Box, 24.26 oz. total",,$49.99
"Fruit By The Foot, Variety, 0.75 oz,",48-count,$19.99
"Kinder Bueno Mini, Chocolate and Hazelnut Cream Chocolate Bars, 17.1 oz",,$11.99
Sanders Dark Chocolate Sea Salt Bourbon 2-pack (36 oz.),,$34.99
"Rocky Mountain Chocolate Holiday Party Pack Assortment, 1.59 lb Total",,$34.99
"Skittles Gummies, Sour, 5.8 oz Peg Bag,",12-count,$27.49
"Skittles Wild Berry Chewy Candy, Full Size, 2.17 oz,",36-count,$39.99
Sanders Milk Chocolate Pecan Caramel Clusters,2-Pack,$34.99
"Luxury Halal Gourmet Chocolate Covered Dates, 21.16 oz. per pack, 2-pack",,$39.99
"Bequet Caramel, Celtic Sea Salt, 17.1 oz",,$15.99
"Skittles Gummies, Original, 5.8 oz Peg Bag,",12-count,$27.49
"Sanders Dark Chocolate Sea Salt Caramels 36 oz., 2-pack",,$36.99
"Ice Breakers Ice Cubes Sugar Free Gum, Raspberry Sorbet, 40 pieces,",4-count,$15.49
"Hershey's Kit Kat, King Size, 3 oz,",24-count,$46.99
"M&M's Chocolate Candy, Peanut Butter, Full Size 1.63 oz,",24-count,$25.99
"Extra Sugar Free Chewing Gum, Mint Variety Pack, 15 Sticks,",18-Count,$17.99
"Swedish Fish Soft & Chewy Candy, 2 oz,",24-count,$24.99
"Butterfinger, Share Size  Pack, 3.7 oz,",18-count,$32.99
"Hi-Chew Bites Fruit Chews, Original, 2.12 oz,",12-count,$11.99
"Kiss My Keto Gummies Tropical Rings,",6-count,$32.99
"Kiss My Keto Gummy Candy Fish Friends,",6-count,$32.99
"Chocolate Moonshine Fudge,",6 count,$44.99
"Jolly Rancher Fruit Chew Lollipops, 0.56 oz, Variety,",100-count,$17.99
"Nerds Candy Gummy Clusters, Rainbow, Share Pouch, 3 oz,",12-count,$19.99
"Kiss My Keto Gummies,",12-count,$32.99
"Sanders Milk Chocolate Sea Salt Caramels 36 oz., 2-pack",,$36.99
"Starburst Chewy Candy, Original, Full Size, 2.07 oz,",36-count,$36.99
"Airheads Xtremes Sweetly Sour Belts, Rainbow Berry, 2 oz,",18-count,$17.99
"Ghirardelli Chocolate Squares, Peppermint Bark Collection, 20.99 oz",,$14.99
"Mamba Fruit Chews, 2.8 oz,",24-count,$19.99
"M&M's Chocolate Candy, Peanut Butter, 55 oz Jar",,$18.99
"Extra Sugar Free Chewing Gum, Sweet Watermelon, Slim Pack, 15 Sticks,",10-Count,$11.49
"Reese's Fast Break, King Size, 3.5 oz",18-count,$34.99
"Truffettes de France Cocoa Truffles 16 oz, 4-pack",,$34.99
"Cailler L'Atelier Artisan Inspired Chocolates,",32-count,$12.49
"AirHeads Bites, Fruit, 2 oz,",24-count,$22.99
"Andes Mints, Creme de Menthe,",240-count,$15.99
"Nerds Candy Gummy Clusters, Very Berry, Share Pouch, 3 oz,",12-Count,$19.99
"Red Vines Twists, Original Red Licorice Candy, 4 oz,",15-count,$15.49
"Ice Breakers Cube Peppermint Gum, 40 pieces,",4-count,$14.99
"Extra Sugar Free Gum, Polar Ice Chewing Gum, 15 Sticks,",10-count,$11.99
"Extra Sugar Free Chewing Gum, Spearmint, Slim Pack, 15 Sticks,",10-Count,$11.49
"Trident Sugar Free Gum, Original,",14-count,$10.99
"Hi-Chew Fruit Chews, Variety, 1.76 oz,",15-count,$13.99
"Hubba Bubba Max Chewing Gum, Original Bubble Gum, 5-pieces,",18-count,$13.49
"Extra Peppermint Gum Sugar Free, Slim Pack, 15 Sticks,",10-count,$11.99
"Utah Truffles Dark Chocolate Truffles With Sea Salt 16 oz, 2-pack",,$34.99
"5 Gum Sugar Free Chewing Gum, Peppermint Cobalt, 15 Sticks,",10-Count,$14.49
"Trident White Sugar Free Gum, Wintergreen, 16 Pieces,",9-count,$10.99
"A'Cappella After Dinner Mints, 2-pack, 44 Total Mints, 10 oz. Total",,$44.99
"Dentyne Ice Sugar Free Gum, Peppermint,",12-count,$11.99
"Sour Punch Straws, Rainbow, 2 oz,",24-count,$17.99
"Trident Sugar Free Gum, Wintergreen, 14 Sticks,",12-count,$13.99
"Trident Sugar Free Gum, Spearmint,",14-count,$10.99
"Mentos Pure Fresh Sugar Free Gum, Fresh Mint, 15 Pieces,",10-count,$13.99
"Altoids Breath Mints, Hard Peppermint Candy, 1.76 oz,",12-count,$26.99
"Trident Sugar Free Gum, Mint Bliss, 14 Pieces,",15-count,$10.99
"M&M's Chocolate Candy, Peanut, Share Size, 3.27 oz,",24-count,$44.99
Bouchard Belgian Probiotic Chocolate 1.1 lb 2-pack,,$54.99
"Trident Sugar Free Gum, Cinnamon, 14 Pieces,",15-count,$10.99
"Red Vines Licorice, Original Red, 5.5 lbs",,$14.99
"Extra Sugar Free Chewing Gum, Winterfresh, Slim Pack, 15 Sticks,",10-Count,$11.99
"Trident White, Peppermint,",12-count,$11.99
"Sour Punch Straws, Blue Raspberry, 2 oz,",24-count,$17.99
"Mentos, Sugar Free Pure Fresh Gum, Freshmint with Green Tea Extract, 80 Pieces,",4-Count,$17.99
"Trident Sugar Free Gum, Bubblegum, 14 Pieces,",15-count,$10.99
"Sour Punch Straws, Strawberry, 2 oz,",24-count,$17.99
"Ice Breakers Ice Cubes Sugar Free Gum, Spearmint, 40 pieces,",4-count,$14.99
"Ice Breakers Ice Cubes Sugar Free Gum, Arctic Grape, 40 pieces, 4 ct, 160 pieces",,$14.99
"Trident Sugar Free Gum, Tropical Twist,",14-count,$10.99
"Altoids Smalls Breath Mints, Sugar Free Peppermint, 0.37 oz,",9-count,$10.99
"Trident Sugar Free Gum, Watermelon Twist, 14 Pieces,",15-count,$10.99
"Utah Truffle Milk Chocolate Mint Truffles 16 oz, 2-pack",,$34.99
"5 Gum Sugar Free Gum, Spearmint Rain Chewing Gum, 15 Sticks,",10-count,$14.99
"Hospitality Mints Thank You Buttermints, 26 oz",,$7.99
"Ice Breakers Ice Cubes Sugar Free Gum, Wintergreen, 40 pieces,",4-count,$14.99
"Ice Breakers Mints, Cool Mint, 1.5 oz,",8-count,$16.99
"Extra Refreshers Sugar Free Gum, Spearmint, 40 Pieces,",4-count,$13.99
"Ice Breakers Mints, Spearmint, 1.5 oz,",8-count,$16.99
"Mentos, Fruit, 1.32 oz,",15-count,$14.99
"Mentos, Mint, 1.32 oz,",15-count,$14.99
"Tic Tac, Freshmint, 1 oz,",12-count,$13.49
"Altoids Mints, Wintergreen, 1.76 oz,",12-count,$27.99
"Mrs. Calls Kettle Cooked Sea Salt Soft Caramels 25 oz, 2-pack",,$34.99
"Ghirardelli Chocolate Snowman Assortment, 15 oz",,$16.99
"Skittles Bite Size Candies, Original, 54 oz",,$11.49
Sugarfina 12 Days of Christmas Advent Tree Tasting Collection,,$29.99
"Hebert Candies Chocolate Geneva Assortment, 2 lb, 100 Total Pieces",,$47.99
"Ethel M Chocolates Truffles Collection,",2 Pack,$59.99
"G.O.A.T. FOODS Licorice.com Assortment,",4-Pack,$59.99
"Hebert Candies Milk Chocolate Cranberry Cashew Caramels, 1.8 lb, 36 Total Pieces",,$29.99
"G.O.A.T. FOODS Best Set,",4 Pack,$59.99
"Amedei Chocolate Holiday Advent Calendar, 15.4 oz. Total",,$69.99
"Ethel M Chocolates Classic Collection,",2 Pack,$64.99
